Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4
SPR,1,5/16/2019,NOVI,T61,XRXYXX,M,,,40,Y,0,1800501081,pos,1702.887924,19ARMI0527,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,D25,XYRXXX,U,,,33,Y,0,1800501078,neg,0,19ARMI0531,In amplexus; transitioning,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,D65,OXOXXX.a,M,,,42,Y,0,1800501104,neg,0,19ARMI0532,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T13,XYXRXX,F,,,44,Y,0,1800501074,pos,167974.4156,19ARMI0535,In amplexus,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T11,XOXBXX,M,,,39,Y,0,1800501069,pos,279.3565428,19ARMI0536,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T42,OXXBXX,F,,,36,Y,0,1800501110,pos,161183.5109,19ARMI0540,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T49,BBXXXX,M,,,42,Y,0,1800501125,pos,51184.77421,19ARMI0543,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T49,ORXXXX,M,,,42,Y,0,1800501100,pos,2094.06456,19ARMI0560,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T17,OXROXX,F,,,40,Y,0,1800501089,pos,22699.74994,19ARMI0562,Recent metamorph,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T11,XOOXXX,F,,,39,Y,0,1800501067,pos,14840.26884,19ARMI0563,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T49,OOXXXX,M,,,38,Y,1,1800501099,,,19ARMI0577,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T13,XYXOXX,M,,,40,Y,0,1800501073,pos,12542.4135,19ARMI0594,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T15,XOXYXX,F,,,41,Y,0,1800501090,pos,148.6278222,19ARMI0597,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T61,XRXBXX,M,,,37,Y,0,1800501082,pos,3652.811498,19ARMI0600,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T11,XORXXX,F,,,42,Y,0,1800501068,pos,10978.24615,19ARMI0604,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T51,OXXRXX,M,,,38,Y,0,1800501107,pos,22397.12855,19ARMI0608,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T5,XYOXXX,F,,,42,Y,0,1800501077,pos,3642.149491,19ARMI0609,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T9,XYXYXX,F,,,42,Y,0,1800501080,pos,2163.731937,19ARMI0623,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,D65,OXYXXX,M,,,41,Y,0,1800501103,pos,1302.97311,19ARMI0628,In amplexus,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,D25,XYXBXX,M,,,40,Y,0,1800501079,pos,151.5968713,19ARMI0633,In amplexus,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T42,XRYXXX,M,,,41,Y,0,1800501085,pos,7978.647634,19ARMI0729,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T11,XOBXXX,M,,,41,Y,0,1800501075,pos,743.2128142,19ARMI0767,In amplexus,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T49,OXXYXX,M,,,36,Y,0,1800501109,pos,20786.96684,19ARMI0773,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/8/2020,NOVI,T23,BXBOBX,M,,,,Y,0,1802200142,pos,477.726562,20ARMI1599,bleeding,1,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,T23,BXBRXR,F,,,,Y,0,1802200145,pos,18117.94781,20ARMI1601,,,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
SPR,1,5/8/2020,NOVI,D11,XRBXXB,M,,,,Y,0,1802200058,pos,7096.070541,20ARMI1603,bleeding,1,0,,,9.369265152,9.975883117,7.463122511,6.581394913,7.457205952,17.8,17.84285714,13.11428571,10.31428571,10.87142857
