"","Mark","JD","bd_load","log_bd_load"
"234",896,139,733.5508233,6.59925918763808
"235",901,167,263225.5899,12.4807704987865
"236",902,135,37185.40359,10.5236984785592
"237",902,166,26939.54499,10.2013876795296
"238",904,140,3070.519084,8.02992753383553
"239",908,140,50015.98337,10.8201178941364
"240",910,187,213.5368466,5.36848150263672
"241",915,106,0,0
"242",916,135,214557.8674,12.2763394197917
"243",916,169,152814.1471,11.9369842810371
"244",919,170,463723.2344,13.047045332115
"245",923,92,0,0
"246",924,135,1101.817586,7.00562362570367
"247",924,162,1508.483612,7.31952289251294
"248",924,189,0,0
"249",927,170,3623.485842,8.19546772053935
"250",929,75,0,0
"251",931,92,0,0
"252",932,134,0,0
"253",934,168,97.66238775,4.59170379731691
"254",935,170,194371.3896,12.1775311321148
"255",941,140,0,0
"256",945,135,7375.607091,8.90606906811301
"257",945,162,1370.289325,7.22350668939154
"258",945,188,789.0352075,6.67207751092371
"259",948,170,67090.54847,11.1138133607795
"260",952,92,0,0
"261",953,92,371.3475888,5.91982779650792
"262",955,168,279493.2448,12.5407369803098
"263",956,170,496.4247331,6.20944425490187
"264",956,190,0,0
"265",964,85,0,0
"266",970,190,0,0
"267",971,159,11146.55784,9.31897572509548
"268",973,138,0,0
"269",973,162,23315.77203,10.0569282102144
"270",978,167,11548.61604,9.35440747210733
"271",984,159,113303.5369,11.6378344894624
"272",987,140,6745.729258,8.8168131120618
"273",992,92,0,0
"274",992,162,78849.77106,11.2753123711639
"275",994,168,3774.707478,8.23634305551453
"276",995,163,19.7576384,3.03291429460141
"277",1001,140,2679.308315,7.89368710979842
"278",1006,140,13453.08062,9.50703773083755
"279",1007,189,85.1613002,4.45622112326352
"280",1011,138,1313.601545,7.18128889109122
"281",1011,189,0,0
"282",1013,139,21.33913837,3.10634022396261
"283",1013,141,5108.379153,8.53883317933896
"284",1013,167,8186.107467,9.01031593583238
"285",1015,85,0,0
"286",1015,189,0,0
"287",1018,142,136.0056259,4.92002198994849
"288",1024,141,18070.33343,9.80208217333746
"289",1026,80,0,0
"290",1027,80,0,0
"291",1029,140,25406.15476,10.1427860968059
"292",1029,187,848.1381725,6.74422192041926
"293",1033,139,17299.18533,9.75847249314525
"294",1033,167,43762.63716,10.6865585497297
"295",1040,135,8999.406572,9.10502502996468
"296",1040,163,12584.01077,9.44026176334974
"297",1041,138,69.36855918,4.25374656085055
"298",1041,142,186584.5188,12.1366449588105
"299",1041,162,203312.8113,12.2225059328721
"300",1046,139,5521.040286,8.61650268800858
"301",1046,166,6007.837313,8.70098655007826
"302",1047,168,1067.815461,6.97430626843374
"303",1048,106,0,0
"304",1049,135,48937.13661,10.798312261282
"305",1049,166,103981.0811,11.5519738661633
"306",1054,92,0,0
"307",1056,140,68.61633941,4.2429993014261
"308",1060,139,8366.574821,9.03211937490388
"309",1060,188,718.2173578,6.57816361773825
"310",1067,106,182.4355221,5.21186322754521
"311",1068,78,0,0
"312",1068,160,23094.39357,10.0473884640704
"313",1070,168,40824.13949,10.6170533346118
"314",1075,79,0,0
"315",1076,78,0,0
"316",1078,167,286434.5194,12.5652687266301
"317",1083,78,0,0
"318",1084,77,0,0
"319",1084,78,0,0
"320",1084,106,0,0
"321",1086,167,21973.66696,9.99764556703466
"322",1087,170,0,0
"323",1091,78,0,0
"324",1095,135,11627.58165,9.36122128192756
"325",1095,189,7714.897835,8.95103813326922
"326",1098,78,0,0
"327",1102,189,296.3620789,5.69495051715369
"328",1103,188,86.50655774,4.47171373615529
"329",1106,79,0,0
"330",1111,85,0,0
"331",1111,190,9826.318755,9.19292141449049
